Title,Author,Description,Genres,cover
Discworld Companion,"Terry Pratchett, Stephen Briggs","For the newcomer and old hand alike the Discworld can be a fatally confusing planet. From the great city of Ankh-Morpork, featuring a river you could skateboard across if it wasn't so knobbly, to the distant Ramtop Mountains and mysterious Counterweight Continent, the Discworld is a place where Death waits around every corner... For safety's sake, you need a guide. And here it is. Terry Pratchett and Stephen Briggs, respectively chronicler and cartographer of the Discworld, have the produced the one and only definitive guide to the flat planet - its geography, its flora and fauna, its (many) religions, its architecture and customs, and its outstanding personalities. What is a Quantum Weather Butterfly? What does Death keep on his desk? Would you drink Bearhugger's Homeopathic Sipping Whiskey? How are the kings of Ankh-Morpork different from the kings of Ankh? Everything the Discworld traveller needs to know is contained in these pages, together with useful maps and illustrations of significant places and emblems in this unique world.","['Fantasy', 'Fiction', 'Reference', 'Humor', 'Comedy', 'Science Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Academic', 'Audiobook']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180031202l/989097.jpg
The Power of Two,"H.B. Gilmour, Randi Reisfeld (Goodreads Author)","Camryn and Alex are twin witches that were raised far apart by adoptive parents, each totally unaware of the existence of the other. That is, until their fourteenth year when a tragedy brings them together. Who are they? What are these scary witchy powers they've hidden from themselves and others? Why have they been brought together now? And by who?","['Fantasy', 'Young Adult', 'Witches', 'Paranormal', 'Magic', 'Urban Fantasy', 'Childrens', 'Fiction', 'Supernatural', 'Middle Grade']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328054507l/722192.jpg
The Midnight Hunt,L.L. Raand,"Medic Ryon Drake has never been good at following protocol, so she doesn't think twice about rendering emergency care when a young girl's life is at stake--even if the girl is in the throes of Werefever and any sane mortali should know better. It isn't the bright shining pain of the bite or even the wrenching agonies of the fever that convinces her everything in her life has changed. It's the way she feels about the blonde with the silver-blue eyes leaning over her hospital bed when she finally wakes up. Sylvan, the Alpha of the Adirondack Timberlake Pack—the one woman Drake can't have. And the only one she wants. The first in the Midnight Hunters series.","['Lesbian', 'LGBT', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Werewolves', 'Supernatural', 'Vampires', 'Paranormal Romance']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387175669l/6773700.jpg
A Brief Tour of Human Consciousness: From Impostor Poodles to Purple Numbers,V.S. Ramachandran,"How can some people come to believe that their poodle is an impostor? Or see colors in numbers? Internationally acclaimed neuroscientist, V.S. Ramachandran, now shares his unique insight into human consciousness in an entertaining, inspiring, and intellectually dazzling brief tour of the ultimate frontier—the thoughts in our heads.A Brief Tour of Human Consciousness is made up of five investigations of the greatest mysteries of the brain. The first chapter shows how amputees feel pain in limbs they no longer have as it introduces the great revolution of our age: neuroscience. The second chapter walks through the way what we see determines our thoughts, and demonstrates the counterintuitive point that believing is in fact seeing. The third chapter takes a leap beyond cutting edge science to audaciously set out a general theory of beauty, explaining why, the world over, cultures have fundamentally similar notions of what is attractive. The fourth chapter explores the bizarre world of synesthetes, people who see colors in numbers, textures in smells, sounds in sights, and flavors in sounds. Finally, V. S. Ramachandran one of the foremost brain researchers in the world today, sums up the implications of the revolution in our understanding of consciousness, to make a fascinating argument about our essential sense of self and its distributed nature.","['Science', 'Nonfiction', 'Psychology', 'Neuroscience', 'Philosophy', 'Brain', 'Popular Science', 'Medicine', 'Biology', 'Medical']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432093693l/31554._SY475_.jpg
The Unpredictable Consequences of Love,Jill Mansell,"In the idyllic seaside town of St Carys, Sophie is putting the past firmly behind her.When Josh arrives in St Carys to run the family hotel, he can't understand why Sophie has zero interest in letting any man into her life. He also can't understand how he's been duped into employing Sophie's impulsive friend Tula, whose crush on him is decidedly unrequited.St Carys has more than its fair share of characters, including the charming but utterly feckless surfer Riley Bryant, who has a massive crush on Tula. Riley's aunt is superstar author Marguerite Marshall. And Marguerite has designs on Josh's grandfather...who in turn still adores his glamorous ex-wife, Dot...Just how many secrets can one seaside town keep?","['Chick Lit', 'Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Adult', 'Womens Fiction', 'Audiobook', 'British Literature', 'Humor']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420776248l/21045814.jpg
Dark Rivers of the Heart,Dean Koontz (Goodreads Author),"Do you dare step through the red door? Spencer Grant had no idea what drew him to the bar with the red door. He thought he would just sit down, have a slow beer or two, and talk to a stranger. He couldn't know that it would lead to a narrow escape from a bungalow targeted by a SWAT team. Or that it would leave him a wanted man. Now he is on the run from mysterious and ruthless men. He is in love with a woman he knows next to nothing about. And he is hiding from a past he can't fully remember. On his trail is a shadowy security agency that answers to no one--including the U.S. government--and a man who considers himself a compassionate Angel of Death. But worst of all, Spencer Grant is on a collision course with inner demons he thought he'd buried years ago--inner demons that could destroy him if his enemies don't first.","['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Mystery Thriller', 'Science Fiction', 'Action', 'Fantasy', 'Crime']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921195l/15760.jpg
Servant of the Bones,Anne Rice,"SERVANT OF THE BONES is Anne Rice's new electrifying novel, with a hero as mesmerising, seductive and ambivalent as the vampire Lestat. Azriel is a restless Jewish spirit, born almost 2500 years ago in Babylon, who can be called forth by whoever holds and understands the arcane mystery of the casket of golden bones he is tied to. Caught between heaven and earth, Azriel is forced to bear witness to the long and troubled history of Western civilisation, from the household of an ancient Greek philosopher and the deathbed of Alexander the Great, to the Mongolian Steppes and fourteenth century Strasbourg, where Jews were made scapegoats for the Black Death. And finally in the present, he is summoned to witness and avenge a brutal murder on Fifth Avenue. The dead woman is Esther, step-daughter of Gregory Belkin, fanatical messianic leader of a worldwide cult, the Temple of the Mind. Belkin is known to be the son of Holocaust victims, but he has a secret history which binds Azriel's fate to his. SERVANT OF THE BONES is as rich and terrifying, as sensual and violent as any novel by Anne Rice - an enthralling epic which conjures up more than two thousand years of Jewish history and penetrates the unfolding mysteries of evil, redemption, life and death.","['Horror', 'Fantasy', 'Fiction', 'Paranormal', 'Supernatural', 'Vampires', 'Historical Fiction', 'Urban Fantasy', 'Historical', 'Gothic']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312931293l/43805.jpg
The Probable Future,Alice Hoffman (Goodreads Author),"Alice Hoffman’s most magical novel to date -- three generations of extraordinary women are driven to unite in crisis and discover the rewards of reconciliation and love. Women of the Sparrow family have unusual gifts. Elinor can detect falsehood. Her daughter, Jenny, can see people's dreams when they sleep. Granddaughter Stella has a mental window on the future -- a future that she might not want to see. In The Probable Future this vivid and intriguing cast of characters confronts a haunting past -- and a very current murder -- against the evocative backdrop of small-town New England. By turns chilling and enchanting, The Probable Future chronicles the Sparrows’s legacy as young Stella struggles to cope with her disturbing clairvoyance. Her potential to ruin or redeem becomes unbearable when one of her premonitions puts her father in jail, wrongly accused of homicide. Yet this ordeal also leads Stella to the grandmother she was forbidden to meet and to a historic family home full of talismans from her ancestors. Poignant, arresting, unsettling, The Probable Future showcases the lavish literary gifts that have made Alice Hoffman one of America’s most treasured writers.","['Fiction', 'Magical Realism', 'Fantasy', 'Contemporary', 'Paranormal', 'Magic', 'Adult Fiction', 'Chick Lit', 'Supernatural', 'Romance']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499994741l/22898._SY475_.jpg
"Goodbye, I Love You",Carol Lynn Pearson,"Good-bye, I Love You is the true story of a wife, her homosexual husband, and a love that transcended tragedy when he came home to die.First released in hardcover in 1986, Good-bye, I Love You was the first widely acclaimed memoir of what was to become a continuing tragedy: death resulting from the AIDS virus. Since problems related to AIDS take an ever-increasing toll, the continuing popularity of Pearson's book is no surprise. It may be that no one has documented the heart-wrenching effects of homosexuality and the AIDS epidemic on the American family better than Ms. Pearson.","['Nonfiction', 'Biography', 'Memoir', 'Religion', 'Lds', 'Biography Memoir', 'LGBT', 'Mormonism', 'Autobiography', 'Relationships']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413749728l/710136.jpg
Marketing Management,"Philip Kotler, Kevin Lane Keller",This is the 12th edition of 'Marketing Management' which preserves the strengths of previous editions while introducing new material and structure to further enhance learning.,"['Business', 'Management', 'Nonfiction', 'Textbooks', 'Economics', 'Reference', 'Entrepreneurship', 'Education', 'School', 'Academic']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387666193l/85907.jpg
